Kingdom,Group,SubGroup,Size (Mb)
Bacteria,Proteobacteria,Alphaproteobacteria,3.10509
Bacteria,Proteobacteria,Alphaproteobacteria,3.41677
Bacteria,Proteobacteria,Alphaproteobacteria,3.51343
Bacteria,Proteobacteria,Alphaproteobacteria,4.27052
Bacteria,Proteobacteria,Alphaproteobacteria,3.16624
Bacteria,Proteobacteria,Alphaproteobacteria,2.91069
Bacteria,Proteobacteria,Alphaproteobacteria,3.01364
Bacteria,Proteobacteria,Alphaproteobacteria,3.04108
Bacteria,Proteobacteria,Alphaproteobacteria,3.34025
Bacteria,Proteobacteria,Alphaproteobacteria,3.70195
Bacteria,Proteobacteria,Alphaproteobacteria,2.88342
Bacteria,Proteobacteria,Alphaproteobacteria,2.68737
Bacteria,Proteobacteria,Alphaproteobacteria,3.74669
Bacteria,Proteobacteria,Alphaproteobacteria,5.19055
Bacteria,Firmicutes,Clostridia,4.13563
Bacteria,Firmicutes,Clostridia,4.05007
Bacteria,Firmicutes,Clostridia,4.04478
Bacteria,Firmicutes,Clostridia,2.4696
Bacteria,Firmicutes,Negativicutes,4.32301
Bacteria,unclassified Bacteria,Acetothermia,0.669384
Viruses,ssDNA viruses,Parvoviridae,0.005234
Viruses,ssDNA viruses,Parvoviridae,0.004945
Viruses,ssDNA viruses,unclassified,0.002517
Viruses,ssRNA viruses,Paramyxoviridae,0.015624
Viruses,ssRNA viruses,Paramyxoviridae,0.015504
Eukaryota,Animals,Other Animals,88.4439
Bacteria,Tenericutes,Mollicutes,1.12306
Bacteria,Tenericutes,Mollicutes,1.80712
Bacteria,Tenericutes,Mollicutes,1.87779
Bacteria,Tenericutes,Mollicutes,1.28237
Bacteria,Tenericutes,Mollicutes,1.45354
Bacteria,Tenericutes,Mollicutes,1.43045
Bacteria,Tenericutes,Mollicutes,1.49699
Bacteria,Tenericutes,Mollicutes,1.21918
Bacteria,Tenericutes,Mollicutes,0.924993
Bacteria,Tenericutes,Mollicutes,1.58712
Bacteria,Tenericutes,Mollicutes,1.55423
Viruses,dsDNA viruses, no RNA stage,Plasmaviridae,0.011965
Viruses,ssDNA viruses,Inoviridae,0.004491
Bacteria,Proteobacteria,Gammaproteobacteria,3.8456
Bacteria,Proteobacteria,Betaproteobacteria,7.26571
Bacteria,Proteobacteria,Betaproteobacteria,6.15666
Bacteria,Proteobacteria,Betaproteobacteria,6.86081
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.072329
Bacteria,Proteobacteria,Betaproteobacteria,6.8922
Bacteria,Proteobacteria,Betaproteobacteria,6.46849
Bacteria,Proteobacteria,Betaproteobacteria,7.35915
Eukaryota,Fungi,Ascomycetes,58.8364
Bacteria,Firmicutes,Negativicutes,2.28786
Bacteria,Firmicutes,Negativicutes,2.32977
Bacteria,Firmicutes,Negativicutes,2.48777
Bacteria,Firmicutes,Negativicutes,2.16158
Viruses,dsDNA viruses, no RNA stage,Ampullaviridae,0.023814
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.020869
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.031787
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.040449
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.039577
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.036895
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.038179
Viruses,dsDNA viruses, no RNA stage,Lipothrixviridae,0.041172
Archaea,Crenarchaeota,Thermoprotei,2.13765
Viruses,dsDNA viruses, no RNA stage,Rudiviridae,0.024655
Viruses,dsDNA viruses, no RNA stage,Fuselloviridae,0.024186
Viruses,dsDNA viruses, no RNA stage,Bicaudaviridae,0.06273
Bacteria,Proteobacteria,Alphaproteobacteria,2.98963
Archaea,Crenarchaeota,Thermoprotei,1.54851
Archaea,Crenarchaeota,Thermoprotei,1.49645
Bacteria,Actinobacteria,Acidimicrobiia,2.15816
Bacteria,Proteobacteria,Alphaproteobacteria,4.18836
Bacteria,Proteobacteria,Alphaproteobacteria,4.17541
Bacteria,Proteobacteria,Alphaproteobacteria,3.96308
Bacteria,Proteobacteria,Alphaproteobacteria,4.21474
Archaea,Euryarchaeota,Thermoplasmata,1.74736
Archaea,Euryarchaeota,Thermoplasmata,1.74753
Bacteria,Proteobacteria,Alphaproteobacteria,3.86227
Bacteria,Actinobacteria,Acidimicrobiia,1.17694
Bacteria,Proteobacteria,Gammaproteobacteria,2.28308
Bacteria,Proteobacteria,Gammaproteobacteria,2.61636
Bacteria,Proteobacteria,Gammaproteobacteria,2.82603
Bacteria,Proteobacteria,Gammaproteobacteria,3.17493
Bacteria,Proteobacteria,Gammaproteobacteria,3.2376
Bacteria,Proteobacteria,Gammaproteobacteria,3.43367
Bacteria,Proteobacteria,Gammaproteobacteria,4.18422
Bacteria,Proteobacteria,Gammaproteobacteria,3.9379
Bacteria,Actinobacteria,Acidimicrobiia,4.01987
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,0.789133
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,5.00104
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.25081
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.00993
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.69216
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.45912
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.13693
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,6.67919
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,3.68652
Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,4.12736
Bacteria,Proteobacteria,Alphaproteobacteria,3.62486
Bacteria,Proteobacteria,Alphaproteobacteria,3.98473
Bacteria,Proteobacteria,Alphaproteobacteria,3.40393
Bacteria,Proteobacteria,Alphaproteobacteria,3.69003
Bacteria,Actinobacteria,Actinobacteria,2.44354
Bacteria,Proteobacteria,Betaproteobacteria,7.08623
Bacteria,Proteobacteria,Betaproteobacteria,5.63425
Bacteria,Proteobacteria,Betaproteobacteria,4.19093
Bacteria,Proteobacteria,Betaproteobacteria,5.35277
Bacteria,Proteobacteria,Betaproteobacteria,4.84209
Bacteria,Proteobacteria,Betaproteobacteria,3.79657
Bacteria,Proteobacteria,Betaproteobacteria,5.52678
Bacteria,Proteobacteria,Betaproteobacteria,5.53023
Bacteria,Proteobacteria,Betaproteobacteria,4.47578
Archaea,Euryarchaeota,unclassified Euryarchaeota,1.43709
Archaea,Euryarchaeota,unclassified Euryarchaeota,2.98181
Bacteria,Proteobacteria,Gammaproteobacteria,4.90237
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.046387
Bacteria,Proteobacteria,Gammaproteobacteria,6.04643
Bacteria,Proteobacteria,Gammaproteobacteria,3.7469
Bacteria,Proteobacteria,Gammaproteobacteria,3.59494
Bacteria,Proteobacteria,Gammaproteobacteria,5.02653
Bacteria,Proteobacteria,Gammaproteobacteria,3.65769
Bacteria,Proteobacteria,Gammaproteobacteria,3.38882
Bacteria,Proteobacteria,Gammaproteobacteria,3.14851
Bacteria,Proteobacteria,Gammaproteobacteria,4.10541
Bacteria,Proteobacteria,Gammaproteobacteria,4.59517
Bacteria,Proteobacteria,Gammaproteobacteria,4.90577
Bacteria,Proteobacteria,Gammaproteobacteria,4.55135
Bacteria,Proteobacteria,Gammaproteobacteria,3.7152
Bacteria,Proteobacteria,Gammaproteobacteria,2.89979
Bacteria,Proteobacteria,Gammaproteobacteria,3.21164
Bacteria,Proteobacteria,Gammaproteobacteria,3.69001
Bacteria,Proteobacteria,Gammaproteobacteria,3.78235
Bacteria,Proteobacteria,Gammaproteobacteria,3.67768
Bacteria,Proteobacteria,Gammaproteobacteria,2.66894
Bacteria,Proteobacteria,Gammaproteobacteria,4.19141
Bacteria,Proteobacteria,Gammaproteobacteria,4.15254
Bacteria,Proteobacteria,Gammaproteobacteria,3.60557
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.159801
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.031185
Viruses,ssRNA viruses,Leviviridae,0.004268
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.042185
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.167716
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.164093
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.169947
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.045364
Viruses,dsDNA viruses, no RNA stage,unclassified,0.04305
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.040739
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.077792
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.044844
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.09817
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.166682
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.09973
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.042654
Bacteria,Proteobacteria,Gammaproteobacteria,4.37218
Bacteria,Proteobacteria,Gammaproteobacteria,3.36608
Bacteria,Proteobacteria,Gammaproteobacteria,4.06669
Bacteria,Proteobacteria,Gammaproteobacteria,3.4149
Bacteria,Proteobacteria,Gammaproteobacteria,3.49815
Bacteria,Proteobacteria,Gammaproteobacteria,4.07892
Bacteria,Proteobacteria,Gammaproteobacteria,3.69238
Bacteria,Proteobacteria,Gammaproteobacteria,2.95235
Bacteria,Proteobacteria,Gammaproteobacteria,3.82548
Bacteria,Proteobacteria,Gammaproteobacteria,3.54451
Viruses,ssRNA viruses,Betaflexiviridae,0.008657
Eukaryota,Fungi,Ascomycetes,28.5905
Eukaryota,Animals,Insects,295.945
Eukaryota,Animals,Other Animals,364.965
Bacteria,Proteobacteria,Alphaproteobacteria,3.17638
Bacteria,Proteobacteria,Alphaproteobacteria,3.71534
Eukaryota,Plants,Land Plants,604.217
Viruses,ssRNA viruses,Betaflexiviridae,0.007488
Bacteria,Actinobacteria,Actinobacteria,6.3196
Bacteria,Actinobacteria,Actinobacteria,5.70653
Bacteria,Proteobacteria,Gammaproteobacteria,2.62114
Bacteria,Proteobacteria,Gammaproteobacteria,2.43153
Bacteria,Proteobacteria,Gammaproteobacteria,2.42526
Bacteria,Proteobacteria,Gammaproteobacteria,2.3755
Bacteria,Proteobacteria,Gammaproteobacteria,2.31966
Bacteria,Proteobacteria,Gammaproteobacteria,2.5016
Bacteria,Proteobacteria,Gammaproteobacteria,2.35447
Bacteria,Actinobacteria,Actinobacteria,3.3168
Bacteria,Actinobacteria,Actinobacteria,2.46186
Bacteria,Actinobacteria,Actinobacteria,11.9327
Bacteria,Actinobacteria,Actinobacteria,10.6681
Bacteria,Actinobacteria,Actinobacteria,10.1386
Bacteria,Actinobacteria,Actinobacteria,9.20205
Bacteria,Actinobacteria,Actinobacteria,2.06966
Bacteria,Actinobacteria,Actinobacteria,2.31848
Bacteria,Actinobacteria,Actinobacteria,2.36601
Bacteria,Actinobacteria,Actinobacteria,2.03202
Bacteria,Actinobacteria,Actinobacteria,2.35866
Bacteria,Actinobacteria,Actinobacteria,6.94724
Bacteria,Actinobacteria,Actinobacteria,8.11986
Bacteria,Actinobacteria,Actinobacteria,7.27876
Bacteria,Actinobacteria,Actinobacteria,7.52948
Bacteria,Actinobacteria,Actinobacteria,6.71058
Bacteria,Actinobacteria,Actinobacteria,6.16778
Bacteria,Actinobacteria,Actinobacteria,10.3089
Bacteria,Actinobacteria,Actinobacteria,9.35366
Bacteria,Actinobacteria,Actinobacteria,8.38543
Bacteria,Actinobacteria,Actinobacteria,3.83642
Bacteria,Actinobacteria,Actinobacteria,2.21485
Bacteria,Actinobacteria,Actinobacteria,1.72384
Bacteria,Actinobacteria,Actinobacteria,3.53139
Bacteria,Actinobacteria,Actinobacteria,1.90671
Bacteria,Actinobacteria,Actinobacteria,2.49802
Bacteria,Actinobacteria,Actinobacteria,3.42002
Bacteria,Actinobacteria,Actinobacteria,2.20573
Bacteria,Actinobacteria,Actinobacteria,4.02577
Bacteria,Actinobacteria,Actinobacteria,3.38792
Bacteria,Actinobacteria,Actinobacteria,3.41644
Bacteria,Actinobacteria,Actinobacteria,2.04909
Bacteria,Actinobacteria,Actinobacteria,3.11434
Bacteria,Actinobacteria,Actinobacteria,2.27029
Bacteria,Actinobacteria,Actinobacteria,2.432
Bacteria,Actinobacteria,Actinobacteria,2.87243
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.017171
Bacteria,Actinobacteria,Actinobacteria,3.17109
Bacteria,Actinobacteria,Actinobacteria,2.29413
Bacteria,Actinobacteria,Actinobacteria,2.93294
Bacteria,Actinobacteria,Actinobacteria,1.96775
Bacteria,Actinobacteria,Actinobacteria,2.71344
Bacteria,Actinobacteria,Actinobacteria,2.33843
Bacteria,Actinobacteria,Actinobacteria,3.1345
Bacteria,Actinobacteria,Actinobacteria,5.86108
Bacteria,Actinobacteria,Actinobacteria,9.23985
Bacteria,Actinobacteria,Actinobacteria,9.37607
Bacteria,Actinobacteria,Actinobacteria,10.9885
Bacteria,Actinobacteria,Actinobacteria,12.4463
Bacteria,Actinobacteria,Actinobacteria,8.77347
Viruses,dsDNA viruses, no RNA stage,Siphoviridae,0.058638
Bacteria,Actinobacteria,Actinobacteria,10.3203
Bacteria,Actinobacteria,Actinobacteria,11.2573
Bacteria,Actinobacteria,Actinobacteria,9.48984
Bacteria,Actinobacteria,Actinobacteria,7.98371
Bacteria,Actinobacteria,Actinobacteria,5.3599
Bacteria,Actinobacteria,Actinobacteria,5.35329
Bacteria,Actinobacteria,Actinobacteria,3.89597
Bacteria,Actinobacteria,Actinobacteria,4.23335
Bacteria,Actinobacteria,Actinobacteria,7.30927
Bacteria,Actinobacteria,Actinobacteria,9.91889
Bacteria,Actinobacteria,Actinobacteria,8.24814
Bacteria,Actinobacteria,Actinobacteria,7.96532
Bacteria,Actinobacteria,Actinobacteria,3.61774
Bacteria,Actinobacteria,Actinobacteria,3.98708
Bacteria,Actinobacteria,Actinobacteria,2.15931
Bacteria,Actinobacteria,Actinobacteria,1.92034
Viruses,ssRNA viruses,Dicistroviridae,0.009491
Eukaryota,Animals,Insects,541.692
Viruses,ssRNA viruses,unclassified,0.010035
Eukaryota,Protists,Other Protists,31.003
Viruses,dsDNA viruses, no RNA stage,Polyomaviridae,0.004988
Viruses,ssDNA viruses,Parvoviridae,0.004718
Viruses,ssDNA viruses,Parvoviridae,0.004679
Viruses,ssDNA viruses,Parvoviridae,0.004726
Viruses,ssDNA viruses,Parvoviridae,0.004767
Viruses,ssDNA viruses,Parvoviridae,0.004642
Viruses,ssDNA viruses,Parvoviridae,0.004721
Viruses,ssDNA viruses,Parvoviridae,0.004393
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,5.16809
Eukaryota,Animals,Other Animals,217.934
Bacteria,Actinobacteria,Coriobacteriia,2.86253
Viruses,dsDNA viruses, no RNA stage,Poxviridae,0.22875
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.11322
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.099657
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.111724
Viruses,dsRNA viruses,Reoviridae,0.017961
Bacteria,Proteobacteria,Betaproteobacteria,4.84603
Bacteria,Proteobacteria,Betaproteobacteria,4.76413
Eukaryota,Animals,Insects,1383.96
Viruses,ssRNA viruses,Flaviviridae,0.011064
Viruses,dsRNA viruses,Reoviridae,0.023147
Eukaryota,Plants,Land Plants,3313.65
Archaea,Aenigmarchaeota,unclassified Aenigmarchaeota,0.361035
Archaea,Aenigmarchaeota,unclassified Aenigmarchaeota,0.248182
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.0429
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.52067
Bacteria,Firmicutes,Bacilli,4.98586
Bacteria,Firmicutes,Bacilli,2.08097
Bacteria,Firmicutes,Bacilli,1.99213
Bacteria,Firmicutes,Bacilli,2.00585
Bacteria,Actinobacteria,Actinobacteria,3.07984
Bacteria,Actinobacteria,Actinobacteria,6.75926
Bacteria,Proteobacteria,Gammaproteobacteria,4.84175
Bacteria,Proteobacteria,Gammaproteobacteria,4.70859
Bacteria,Proteobacteria,Gammaproteobacteria,4.5823
Bacteria,Proteobacteria,Gammaproteobacteria,4.11003
Bacteria,Proteobacteria,Gammaproteobacteria,4.69082
Bacteria,Proteobacteria,Gammaproteobacteria,4.30259
Bacteria,Proteobacteria,Gammaproteobacteria,4.87779
Bacteria,Proteobacteria,Gammaproteobacteria,4.87787
Bacteria,Proteobacteria,Gammaproteobacteria,4.06251
Bacteria,Proteobacteria,Gammaproteobacteria,4.47253
Bacteria,Proteobacteria,Gammaproteobacteria,4.67835
Bacteria,Proteobacteria,Gammaproteobacteria,4.54006
Bacteria,Proteobacteria,Gammaproteobacteria,4.71751
Bacteria,Proteobacteria,Gammaproteobacteria,3.90423
Bacteria,Proteobacteria,Gammaproteobacteria,5.27964
Bacteria,Proteobacteria,Gammaproteobacteria,4.67694
Bacteria,Proteobacteria,Gammaproteobacteria,4.39437
Bacteria,Proteobacteria,Gammaproteobacteria,4.78843
Bacteria,Proteobacteria,Gammaproteobacteria,4.23617
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.161475
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.172963
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.173591
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.235229
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.233234
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.161978
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.160646
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.231743
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.222006
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.053744
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.163875
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.225268
Viruses,dsDNA viruses, no RNA stage,Podoviridae,0.041572
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.033985
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.043551
Bacteria,Proteobacteria,Gammaproteobacteria,5.17797
Bacteria,Proteobacteria,Gammaproteobacteria,4.76247
Bacteria,Proteobacteria,Gammaproteobacteria,4.53415
Bacteria,Proteobacteria,Gammaproteobacteria,5.04054
Bacteria,Proteobacteria,Gammaproteobacteria,4.1869
Bacteria,Proteobacteria,Gammaproteobacteria,4.12625
Bacteria,Proteobacteria,Gammaproteobacteria,3.98769
Bacteria,Proteobacteria,Gammaproteobacteria,4.68367
Bacteria,Proteobacteria,Gammaproteobacteria,4.25089
Bacteria,Proteobacteria,Gammaproteobacteria,4.75522
Bacteria,Proteobacteria,Gammaproteobacteria,4.73561
Bacteria,unclassified Bacteria,Aerophobetes,1.27496
Bacteria,unclassified Bacteria,Aerophobetes,0.368019
Bacteria,unclassified Bacteria,Aerophobetes,0.428566
Bacteria,unclassified Bacteria,Aerophobetes,1.26362
Archaea,Crenarchaeota,Thermoprotei,1.59599
Archaea,Crenarchaeota,Thermoprotei,1.6697
Bacteria,Proteobacteria,Gammaproteobacteria,3.78384
Bacteria,Actinobacteria,Actinobacteria,2.99015
Bacteria,Proteobacteria,Alphaproteobacteria,4.34264
Bacteria,Proteobacteria,Alphaproteobacteria,3.94432
Eukaryota,Plants,Land Plants,192.488
Bacteria,Proteobacteria,Alphaproteobacteria,3.87259
Bacteria,Proteobacteria,Alphaproteobacteria,5.13331
Bacteria,Proteobacteria,Alphaproteobacteria,5.33415
Bacteria,Proteobacteria,Alphaproteobacteria,5.26197
Bacteria,Proteobacteria,Alphaproteobacteria,4.39955
Bacteria,Proteobacteria,Alphaproteobacteria,4.20329
Bacteria,Proteobacteria,Alphaproteobacteria,4.50619
Viruses,ssRNA viruses,Picornaviridae,0.008096
Viruses,ssDNA viruses,Geminiviridae,0.005503
Viruses,dsDNA viruses, no RNA stage,Polyomaviridae,0.005722
Viruses,dsDNA viruses, no RNA stage,Polyomaviridae,0.00527
Viruses,Retro-transcribing viruses,Retroviridae,0.013111
Viruses,dsRNA viruses,Reoviridae,0.019524
Viruses,ssRNA viruses,Betaflexiviridae,0.007781
Viruses,ssRNA viruses,Arteriviridae,0.014953
Viruses,dsDNA viruses, no RNA stage,Asfarviridae,0.170101
Eukaryota,Fungi,Basidiomycetes,32.6144
Bacteria,Proteobacteria,Gammaproteobacteria,4.73428
Viruses,ssDNA viruses,Geminiviridae,0.002739
Viruses,Satellites,unclassified,0.001437
Viruses,Satellites,unclassified,0.001378
Viruses,ssDNA viruses,Geminiviridae,0.002746
Viruses,ssRNA viruses,Bromoviridae,0.008577
Viruses,Satellites,unclassified,0.001259
Viruses,Satellites,unclassified,0.001383
Viruses,Satellites,unclassified,0.001389
Viruses,ssDNA viruses,Geminiviridae,0.002792
Viruses,Satellites,unclassified,0.001335
Viruses,ssDNA viruses,Geminiviridae,0.002735
Viruses,Satellites,unclassified,0.001351
Viruses,Satellites,unclassified,0.001365
Viruses,Satellites,unclassified,0.001323
Viruses,ssDNA viruses,Geminiviridae,0.002768
Viruses,ssDNA viruses,Geminiviridae,0.002756
Viruses,Satellites,unclassified,0.001389
Viruses,Satellites,unclassified,0.00136
Viruses,ssDNA viruses,Geminiviridae,0.002748
Viruses,ssDNA viruses,Geminiviridae,0.002734
Viruses,Satellites,unclassified,0.001347
Viruses,ssDNA viruses,Geminiviridae,0.00275
Bacteria,Proteobacteria,Gammaproteobacteria,2.01662
Bacteria,Proteobacteria,Gammaproteobacteria,2.30907
Bacteria,Proteobacteria,Gammaproteobacteria,2.41443
Bacteria,Proteobacteria,Gammaproteobacteria,2.01201
Bacteria,Actinobacteria,Actinobacteria,3.92072
Eukaryota,Animals,Insects,353.547
Bacteria,Proteobacteria,Alphaproteobacteria,6.01386
Bacteria,Proteobacteria,Alphaproteobacteria,5.08506
Bacteria,Proteobacteria,Alphaproteobacteria,6.29848
Bacteria,Proteobacteria,Alphaproteobacteria,5.67426
Bacteria,Proteobacteria,Alphaproteobacteria,5.16333
Viruses,dsDNA viruses, no RNA stage,Myoviridae,0.069391
Bacteria,Proteobacteria,Alphaproteobacteria,7.77453
Bacteria,Proteobacteria,Alphaproteobacteria,5.29338
Bacteria,Proteobacteria,Alphaproteobacteria,7.2733
Bacteria,Proteobacteria,Alphaproteobacteria,6.32095
Bacteria,Actinobacteria,Actinobacteria,2.67784
Bacteria,Actinobacteria,Actinobacteria,2.8784
Bacteria,Actinobacteria,Actinobacteria,3.7305
Bacteria,Actinobacteria,Actinobacteria,1.31435
Bacteria,Actinobacteria,Actinobacteria,4.30392
Bacteria,Actinobacteria,Actinobacteria,2.22915
Viruses,ssRNA viruses,Potyviridae,0.00954
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.155122
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.13168
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.147544
Viruses,dsDNA viruses, no RNA stage,Baculoviridae,0.148981
Viruses,ssRNA viruses,Bunyaviridae,0.012408
Bacteria,Proteobacteria,Alphaproteobacteria,3.73105
Bacteria,Proteobacteria,Alphaproteobacteria,3.36477
Viruses,ssRNA viruses,Picornaviridae,0.008251
Viruses,ssRNA viruses,Picornaviridae,0.00821
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.412511
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.373687
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.198883
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,1.08532
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.62462
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.267561
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.667371
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.703726
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.525966
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.741841
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.640245
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.164795
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.249792
Archaea,Thaumarchaeota,unclassified Thaumarchaeota,0.252228
Eukaryota,Animals,Mammals,2299.51
Viruses,ssRNA viruses,Bunyaviridae,0.012035
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,3.02425
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,2.6641
Bacteria,Chlamydiae/Verrucomicrobia group,Verrucomicrobia,2.72183
Eukaryota,Animals,Other Animals,1544.15
Eukaryota,Protists,Other Protists,34.4526
Bacteria,Proteobacteria,Betaproteobacteria,4.28184
Bacteria,Proteobacteria,Betaproteobacteria,4.40271
Bacteria,Proteobacteria,Gammaproteobacteria,4.74386
Bacteria,Proteobacteria,Gammaproteobacteria,3.12014
Bacteria,Proteobacteria,Gammaproteobacteria,4.92822
Bacteria,Proteobacteria,Gammaproteobacteria,3.66488
Bacteria,Proteobacteria,Gammaproteobacteria,3.62937
Bacteria,Proteobacteria,Gammaproteobacteria,4.16843
Viruses,dsDNA viruses, no RNA stage,Herpesviridae,0.130608
Viruses,dsDNA viruses, no RNA stage,Herpesviridae,0.13709
Viruses,ssDNA viruses,Parvoviridae,0.004801
Viruses,ssRNA viruses,Betaflexiviridae,0.008041
Viruses,ssDNA viruses,Geminiviridae,0.002745
Viruses,ssRNA viruses,Bromoviridae,0.008274
Viruses,ssRNA viruses,Potyviridae,0.009842
Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.99477
